Job Title,Job Ratings,time,JobStatus,Pros,Cons
Direct sales representative,3.0,"Oct 17, 2024",Former employee,Good colleagues and working conditions,No leave days for contractors
Marketing,3.0,"Oct 2, 2024","Current employee, more than 1 year",Good work environment and lovely,None at the moment. Just new
Banker,5.0,"Sep 28, 2024",Current employee,The company offer Competitive salary,"Long working hours, no time for personal development"
It support technician,4.0,"Sep 30, 2024","Current employee, more than 1 year","The workplace has great culture
Comparable compensation",No cons at the moment
Customer service representative,4.0,"Sep 23, 2024",Former employee,"good work environment, location wise",long working hours on a shift
Accountant,5.0,"Nov 21, 2024","Former employee, more than 1 year","Favorable working environment
Interactions at workplace","Misunderstandings with junior staff
Tight deadlines"
Direct sales representative (dsr),5.0,"Nov 15, 2024","Former employee, more than 1 year","Favorable working environment, no toxicity.",Bearable pressure. Still the best employer.
Solutions architect,5.0,"Nov 1, 2024","Former employee, more than 1 year",great work life balance and culture,too many formalities in projects
Banker,5.0,"Oct 3, 2024","Current employee, more than 3 years","Best employer in Kenya, with best insurance covers and employee relations
Career growth is guaranteed",Generally in banking you 'll never have enough time to concentrate on much outside work
Bank teller,3.0,"Oct 22, 2024","Former employee, less than 1 year","It's a nice place
Customer care service good 
Time management","Over time
System problem
Over working"
Direct sales representative,3.0,"Oct 17, 2024",Former employee,Good colleagues and working conditions,No leave days for contractors
Marketing,3.0,"Oct 2, 2024","Current employee, more than 1 year",Good work environment and lovely,None at the moment. Just new
Banker,5.0,"Sep 28, 2024",Current employee,The company offer Competitive salary,"Long working hours, no time for personal development"
It support technician,4.0,"Sep 30, 2024","Current employee, more than 1 year","The workplace has great culture
Comparable compensation",No cons at the moment
Customer service representative,4.0,"Sep 23, 2024",Former employee,"good work environment, location wise",long working hours on a shift
Branch manager,4.0,"Aug 28, 2024",Current employee,Very nice work environment. Welcoming and easy to be productive,Lack of accountability by higher level staff
Anonymous employee,4.0,"Aug 27, 2024","Former employee, more than 1 year","Competitive remuneration
Growth opportunities
Low interest staff loans",Some senior managers have been there for long and have developed rigidity
Direct sales representative,1.0,"Oct 3, 2024",Former employee,They offer good retainer if you meet 100%targets,There's too much pressure and no guarantee to renew
It technical support specialist,5.0,"Aug 11, 2024",Former employee,Great working office environment for staff,none that i can think of
Branch manager,5.0,"Jul 18, 2024",Former employee,work balance is well catered for,too much micro management may be prohibitive
Direct sales representative,5.0,"Jul 29, 2024","Former employee, more than 1 year","Career growth and development
Work life balance
Medical cover","Pressure increasing
Hostile market
Ground"
App developer,4.0,"Jul 19, 2024","Former employee, more than 5 years",Enjoyed my time there. Good employer,If you don't like corporate politics then ain't a good place for you.
Sales representative,3.0,"Jun 22, 2024","Former employee, less than 1 year",It is the most transparent employer,some targets are not easy to attain
Analyst,3.0,"Jul 1, 2024",Current employee,good bonuses are paid every year,the internal process of being hired internally is hard
Applications developer,4.0,"May 14, 2024","Current employee, more than 1 year",You get an opportunity to work on different kinds of projects which can in return grow your skills,Projects take a lot of time to finish due to unnecessary delays.
Data entry clerk,5.0,"May 22, 2024","Current employee, more than 1 year",Leading bank in East and Central africa,You will handsomely paid well according to your experience
Card operations officer,5.0,"May 22, 2024","Former employee, less than 1 year",Good work environment in the office,The leave days are a little
Teller,4.0,"May 20, 2024","Current employee, more than 3 years","Good Employer
Good annual salary increment",Nothing to share for now
Direct sales representative (dsr),5.0,"May 15, 2024","Former employee, more than 1 year",Possibility for career growth and skills cultivation,I haven't had any downside
Applications developer,5.0,"Apr 25, 2024","Former employee, more than 1 year","Great place to work at, good culture, friendly workmates","Only annual salary increments, no mid year salary review"
Business analyst,4.0,"Apr 17, 2024","Current employee, more than 3 years",Good working environment and opportunities for growth,It is a results driven environment
Clerical assistant,4.0,"Apr 16, 2024",Current employee,"Extensive medical cover
Good employer",None I have experienced so far
Direct sales representative (dsr),2.0,"Mar 21, 2024","Former employee, less than 1 year",Enables one to learn a lot in the banking industry,Too much pressure to meet the target sales
Management trainee,5.0,"Mar 14, 2024","Current employee, more than 3 years",good medical scheme and employee retirement scheme,role stagnation can extende up to more than a year
Customer success manager,4.0,"Mar 19, 2024","Current employee, more than 5 years","Flexibility, training and development and career growth opportunities",Long working hours pressure to deliver
