Job Title,Job Rating,Time,Job Status,Pros,Cons,Company_Name
"Director, employee experience",5.0,2021-05-24,"Current employee, less than 1 year"," It's my first week here but already feel incredibly welcomed. I've been impressed and more quickly acclimated by a super robust onboarding and all the Culture Meetings too Firedsides, Affinity Group Events, etc.. Am learning about the benefits of Bolt's value of writing over talking. I've been at other startups and this is by far the most organized, the most accountable, the quickest and the most transparent. I, even from the interview process, feel like I can be myself here. Bolt encourages uniqueness and celebrating our team all parts of us, and I'm happy that there's less posturing that people don't seem fake/political/gameplaying at work and more genuine openness and realness. Bolt truly believes in the value of doing right by, and supporting, all the teammates. So far it seems like the company has prioritized various efforts, services and perks to help employees have a better work experience I'm obviously biased, but I think that's hugely important."," Bolt is still a startup, and feels like one for better but also for worse in some cases. I feel confident that the company will keep finetuning processes and policies, but everyone who joins will have to bring their proactiveness, creativity and a little patience to the table.",Bolt
Manager,3.0,2023-04-13,Former employee,Nice and smart plus 4 day week,Chaos in decision making constantly,Bolt
Talent,5.0,2019-08-07,"Current employee, less than 1 year"," The product is unbeatable. Not only is it a needtohave, but there's also a mission driven component to stopping fraud and empowering merchants. It's a winwin for everyone. Our culture is genuine, and even though we have some of the smartest people in FinTech working here, there's no egos. People are just excited to drive the needle, which every person has the ability to do! Playbooks and processes are either already built out or are in the process of being built out.  This makes scaling a startup way more efficient, and is a big reason we've been able to grow as fast as we have.  Autonomy!! You are the CEO of your desk and are expected to deliver. The amount of trust we are given is motivating in itself.  We live by our values, and have great values in place. Flexible hours to allow a work life balance. If you want to take a workout class midday, you can.  On that note, we have the best benefits, including gym, commute, phone, lunch/afternoon coffee, and company happy hours to name a few."," Not really a con, but we have a self onboarding process. On one hand, self onboarding goes WAY faster because you can power through the tasks in a couple days. On the other hand, if you're a visual learner or if you prefer classroomstyle tutorials, it will take longer for the information to stick. Just something to keep in mind.",Bolt
User researcher,3.0,2023-03-07,Former employee,4 day work week great people,fast paced unorganized seems that they are running out of runway,Bolt
Special projects associate,5.0,2020-08-18,"Current employee, more than 1 year","I've been working at Bolt for over a year. I can't stress enough about how much I've learned during my time at Bolt. It's been quite the journey, and with each quarter, I continue to work on new projects, iterate, and drive success within Bolt. There are many pros to being here.I'd say the best thing about Bolt is the collaboration. I work across multiple teams and I love the personal connection and great work relationships I've built. I'd say most of the people I work with are great to work with and genuinely want what's best for Bolt.I am not one to take vacation or sick days, but my manager always asks about how I’m feeling and how things are going and always recommends time off and taking time for myself. Super appreciative of this and I have taken a few days off, and Bolt strongly recommends absolutely no work during these days which is great. You’re able to really unplug.Lastly, I’d say that Bolt is a great place to work. If you want to succeed and grow and learn, you are able to. There’s hard work wherever you look, but it’s all worth it. I enjoy my role and the impact of the projects I’m given. I look to continue to learn during my time here.","This is a tough one, I don't think I have explicit cons, especially with my team and role. Coronavirus is definitely a huge con here, as the worklife balance is less concrete.",Bolt
Recruiter,3.0,2019-05-16,"Former employee, less than 1 year","startup fun, young atmospherecompany buys lunch every dayvery cool product, exciting value prop","elitist and judgmental The company is very young. The people are smart, but there's a huge lack of life and career experienceNot sure if they still do it, but when I was there they would post an announcement in slack every time a person was termed, to publicly announce why that person wasn't good enough and is no longer there, and to remind everyone of what they shouldn't do felt like bullying They emphasize hiring for culture, but fail to recognize that diversity exists beyond people looking differently or coming from a variety of demographics, but actually encompasses the ability to think differently too. They are at risk of hiring a bunch of people who all think the same way, which sadly kills diversity.",Bolt
Customer experience,5.0,2019-12-26,"Current employee, more than 1 year"," Smart, collaborative people and an excellent executive leadership team Great market opportunity and strong company growth potential Anybody at the company can have outsize impact Cultural norms and tooling allow for teams and individuals to easily provide feedback positive & constructive to one another, and feedback is nearly always given appropriate consideration regardless of who is giving the feedback to whom.  Solid pay & benefits compared to companies of similar size and funding","Like many highgrowth startups, the environment is fastpaced, change is regular, everybody has a lot on their plate, and some parts of the organization are more mature in their processes and decisionmaking than others.  To that end, being successful at Bolt requires you to: Be highly thoughtful about what is a priority and what can be accomplished over a specific time frame, and be comfortable saying ""no"" to projects or goals that are unrealistic or not yet a priority.  Take time to build foundations, organizing information & data so that team members can make decisions quickly and then disseminate information about those decisions to key stakeholders with high efficiency.Currently, not every team or every individual makes the time to do the above on a regular basis, which can result in friction between teams and individuals. However, over the course of my time at the company, people have improved in these regards significantly and I have little doubt that we will only get better as time goes on.",Bolt
Senior android engineer,4.0,2022-11-30,Current employee,4 hour work week is great,"Mobile is in a rough spot right now, not a lot to do or planned",Bolt
Director of engineering,2.0,2022-12-02,"Current employee, less than 1 year",smart people fast culture 4 day work week,no direction clueless leadership business outlook is not good,Bolt
Customer success,5.0,2019-08-02,"Current employee, less than 1 year","Bolt is a well funded start up with a growing but established presence in the market and has a strong roadmap for successGreat technology and platform with strong value propositionTalented coworkers that are smart, driven, selfstarters but that are also extremely collaborative, openminded, and fun to work withFast paced, opportunities to contribute, make an impact, and see your ideas come to fruitionGreat benefits, culture, work environment","Things are changing, improving, evolving at a fast past. As a result, the processes can sometimes be difficult to stay on top of or navigate...on the flip side, this can be a rewarding challenge to work on your toes, adapt, find ways to improve, etc.The workload can become daunting if you aren't ready to work hard, work smart, and bring your A game. On occasion, your time in a customer facing role may be needed outside of a traditional 85 schedule, though this is seldom the case. This is an ecommerce business and people shop all hours of the day. If an issue comes up, you may be pulled in to assist. Comes with the territory.",Bolt
