Job Title,Job Rating,Time,Job Status,Pros,Cons,Company_Name
Hr Operations,4.0,2023-07-21,"Former employee, more than 8 years","Super smart people with good intentions, amazing benefits that I didn’t really want/need as I grew older, pay was pretty low since I stayed too long on the same team. I got a 50k bump when I left",It got a bureaucratic towards the end of my tenure so I decided to leave. Too much red tape and I missed having more autonomy,Google
Global Supply Manager (Gsm),5.0,2024-01-25,"Current employee, more than 1 year","Company culture, Welfare, Salary, People",Risk of job security in recent period,Google
Sales - Door To Door,2.0,2023-09-06,"Current employee, less than 1 year","Google fiber, as a whole, has some really good benefits..401k..health insurance etc…also there seems to be a very diverse upper level management. I don’t know what happens when it comes down to individual departments, but door to door needs some discrimination training.",As an AA woman I was placed In “low income areas” to sale In constantly …they give all the good areas to their “buddies”. Also I was targeted and fired during a workmen’s comp case.,Google
Online Sales Account Manager,4.0,2023-11-07,"Former employee, more than 5 years","Salary, brand name, benefits, stock options","management is bad in most of the cases, people are getting into management not because they are people managers, but because they need to grow and in Sales opportunities are scarce",Google
Software Engineeer,5.0,2024-01-30,Former employee,Great company to work for,No cons to report by me,Google
Installer/Construction Hybrid,5.0,2024-01-18,Former employee,great environment and pay for Workers,Layoffs happen every year it seems,Google
Sr. Recruiter,4.0,2023-10-29,"Current employee, more than 3 years",Great company benefits and Culture,"All the food can make you chunky, Living the good life there is great but if you’re laid off or fired your whole world crumbles Everyone is pretty darn smart!",Google
Online Typing Work,5.0,2024-01-14,Current employee,New way of learning in a different way..over coming the problems,Knowing the skills but yet unaware,Google
Dc Operations Engineer,4.0,2024-01-14,Current employee,"Good benefits, working with smart people","Remote locations, no possibility of remote work because the nature of the job",Google
Senior Technical Writer,5.0,2023-11-26,Current employee,"Lots of autonomy, incredible & smart people, healthy work culture/environment, flexibility, great insurance, freedom to design my own projects.","Long drive, it’s gotten too large in the past couple of years, which led to huge budget cuts in entertainment, perks, & food quality.",Google
Consulting Swe,4.0,2024-01-09,"Former employee, less than 1 year",easy jobs not too hard,cog in a wheel and feels like im not doing much,Google
Business Data Analyst,5.0,2024-01-10,"Former employee, less than 1 year",Google is what you expect it would be,There is not much more other than what you would expect,Google
Front End Engineer,2.0,2023-08-01,"Current employee, more than 5 years","The compensation is great, the benefits are great, the office perks are alright if you're into that. There's a union that all employees, temps, and vendors can join called the Alphabet Workers Union AWU organized by the Communication Workers of America CWA.","PostCOVID and postlayoff forced return to office, driven by executives who unabashedly live in places like New Zealand but command a USbased team. Massive disconnect between priorities of upper management and the engineers who actually do the work. Be prepared to be managed by people who have no idea how to do your job.",Google
Safety Manager,5.0,2024-01-19,Current employee,"Benefits, pay, time off, 401k","pressure, high speed company, always changing",Google
Architecture,4.0,2024-01-28,"Current employee, more than 3 years",Best place for innovation Good benefits,Layoffs and unstable environment lately,Google
Procurement Manager,5.0,2024-01-17,Current employee,Great really great great great,Not great not great at all,Google
It Director,5.0,2023-12-18,"Former employee, less than 1 year",Absolutely crazy they force you to do this to keep an account,Glassdoor can eat one for this,Google
Account Manger,5.0,2024-01-08,"Former employee, less than 1 year",Nice place if you are passionate about digital advertising,No downside in working at Google,Google
Data Crawl Engineer,5.0,2024-01-22,Current employee,Can work in a good environment,It's good to have few faults,Google
Corporate Support Engineer,2.0,2023-05-07,"Former employee, more than 1 year", Great and free food 24/7  Awesome managers  A lot of fun working there," Very very political and if you disagree you are immediately shunned and punished. For example, I was talking about going to a shooting range on the weekend and ended up getting called into HR  Base pay is not great  Any real promotion requires moving to California or New York",Google
Project Management Intern,3.0,2024-01-26,"Current employee, more than 1 year",Good Hands on experience on complex projects.,Limited growth opportunities for early career.,Google
Associate Counsel,3.0,2023-12-14,"Current employee, more than 3 years","Really interesting issues, smart and talented colleagues, beautiful office, nice perks","lots of bureaucracy, lack of upward promotion, can feel isolating",Google
Sales Leader,5.0,2023-08-10,"Current employee, more than 1 year","Albeit hard work the rewards for good work and trusting leadership always comes through, can't see myself leaving for many years to come and the same goes for all my coleagues","Not many, some networkers just chasing the quick $ tend to get found out and leave or be made leave when their work etics are found out. They have pushed a little hard on the diversity/liberal side, would like to see hires based firstly on merit based and not first because of their gender, race or political beliefs",Google
Teaching,4.0,2024-01-18,Former employee,Lifelong learning and creative thinking,Nothing as much simply I love teaching,Google
Emedded Systems Engineer,4.0,2024-01-28,Current employee,Perfect place very good to,Nice good and not bad,Google
Strategic Partnership Development Manager,4.0,2024-01-01,"Former employee, more than 1 year",Great Policies Conducive work environment,Lack of strategy with my team,Google
Accountatnt,1.0,2024-03-17,"Current employee, more than 3 years",Nice big office. free lunch. good pay,disrepsectful people. riddled. at every level. from manager.,Google
Personal Assistant,5.0,2024-01-25,Current employee,good company to work for,there are no cons here,Google
Ux Intern,5.0,2024-01-18,"Former employee, less than 1 year",Nice people to work with,"Low worklife balance, overtime almost every week",Google
Consultant (Pentester),5.0,2023-07-27,"Current employee, more than 1 year","ure, I can help you write some Google reviews. Here are some examples: Restaurant review: I had a great meal at this restaurant! The food was delicious, the service was excellent, and the atmosphere was inviting. I would definitely recommend this restaurant to anyone looking for a great dining experience. Hotel review: I stayed at this hotel for a business trip, and I was very impressed. The room was spacious and comfortable, the staff was friendly and helpful, and the location was perfect. I would definitely stay here again. Store review: I went to this store to buy a new pair of shoes, and I was very happy with my purchase. The shoes were wellmade and comfortable, and the staff was helpful and knowledgeable. I would definitely recommend this store to anyone looking for new shoes. Service review: I had my car serviced at this shop, and I was very pleased with the service. The mechanics were friendly and knowledgeable, and they did a great job on my car. I would definitely recommend this shop to anyone looking for car service. Product review: I bought this product online, and I'm very happy with it. It's exactly what I was looking for, and it's working great. I would definitely recommend this product to anyone looking for a similar product. These are just a few examples of Google reviews. When writing a Google review, it's important to be clear, concise, and informative. You should also be honest and unbiased in your assessment of the business or product. By following these tips, you can write a Google review that is helpful to other users. Here are some additional tips for writing Google reviews: Start by describing your experience. What did you do at the business or with the product? What did you like or dislike? Be specific. Don't just say that the food was good or the service was bad. Give specific examples of what you liked or didn't like. Be fair. If you had a bad experience, don't be afraid to say so. But be fair and balanced in your assessment. Be helpful. Your goal should be to help other users make informed decisions. So, be sure to include all the relevant information in your review. Proofread your review before submitting it. Typos and grammatical errors will make your review look unprofessional. I hope these tips help you write Google reviews that are helpful and informative.","Sure, here are some cons of writing Google reviews: Your review may not be seen by many people. Google reviews are only displayed if a user searches for a specific business or product. So, if you're writing a review for a small business or a new product, it may not be seen by many people. Your review may be biased. It's important to be honest and unbiased in your assessment of a business or product. But, it's also human nature to be biased towards or against something. So, it's possible that your review will be biased, even if you don't mean for it to be. Your review may be deleted. Google has a policy of deleting reviews that are spam, abusive, or irrelevant. So, if you write a review that violates this policy, it may be deleted. Overall, the pros of writing Google reviews outweigh the cons. But, it's important to be aware of the cons so that you can write a review that is helpful and informative. Here are some additional cons of writing Google reviews: Your review may be used by businesses to promote themselves. Some businesses will use positive reviews to promote themselves, even if the reviews are not genuine. This can make it difficult to trust the reviews that you see. You may be harassed or threatened by businesses or customers. If you write a negative review, you may be harassed or threatened by the business or its customers. This can be a very unpleasant experience. It's important to be aware of these risks before you write a Google review. But, if you're willing to take the risk, you can help other users by writing honest and informative reviews .informative.",Google
Sr Staff Software Engineer,5.0,2024-01-12,"Former employee, more than 10 years", Freedom to contribute to OSS, Management did not care about OSS work,Google
Senior Partnerships Manager,4.0,2024-01-05,"Current employee, more than 5 years","Benefits,  Salary good within in the Netherlands,  Team,  Office","WFH restricted,  Lots of Red Tape,  Slow Processes,  No Job Guarantee",Google
Sde L2,4.0,2024-01-01,"Former employee, more than 1 year","Great benefits, work life balance is also good for a fang",Experience can vary depending on the team.,Google
Account Executvie,5.0,2023-02-03,"Former employee, more than 1 year",Loved the role in Ann Arbor and how useful all the training was for learning the ins and outs of Google Ads through SMB account management Aside from that:  Great benefits  Great pay  Lot's of room for growth  Great people,"Only con is that the culture at Google is a bit judgmental and sensitive if you're not like 95% of the people who work there .. they say you should bring your full self to work. But... that really only applies if you're political views lean heavily towards the left democrat/liberal. While I'm actually very liberal, fiscally I lean more republican. However, if you talk about your views on current events and mention anything related to Republican, many people automatically assume you're a bigot and this can really influence how you move up in the company relationships matter most. Beyond that, the culture if just a bit too politically correct and in a bubble.",Google
Jr. Engineer,4.0,2024-01-21,Current employee,Great place to work with,May loose my job due to AI,Google
Anayst,5.0,2024-01-17,Current employee,Strong brand that boosts your CV,Slow pace if you want to advance,Google
Legal,5.0,2024-01-11,"Current employee, more than 1 year","Work life balance, great coworkers, intellectual stimulating work and environment",Ever changing and red tape,Google
Predoctoral Researcher,5.0,2023-12-26,Current employee,Chance to work with some of the best research minds in the country.,Can be hard to publish due to internal company policies,Google
Administrative Business Partner Iv,4.0,2023-12-29,Current employee,I have supportive managers which makes all the difference.,I wish we could be entirely remote without having to take a pay cut.,Google
Senior Data Engineer,4.0,2024-01-21,Current employee,"Stack technologies, environment, skills development","Hard working, layoffs, big teams",Google
Staff Ux Designer,3.0,2023-10-20,Former employee, Work on products that reach millions or billions of users," Wildly variable levels of motivation, experience, competence make it difficult to build anything good  ""Product excellence"" is lip service — they don't really care about quality.  UX org is still maturing; Engineers mostly call the shots  Very slow pace",Google
Yuppy,1.0,2024-03-16,Former employee,Pretty cool on a Tuesday,"Made too much money, sad",Google
Event Producer,5.0,2024-01-10,Former employee,reason why its the best,"high senior retention, not a ton of upward mobility",Google
Babysitter/Nanny,5.0,2024-01-13,Current employee,Could look things up for free.,Not always what I was looking for,Google
Communications Senior Associate,5.0,2024-01-12,"Current employee, more than 1 year","Great culture, perks, and freedom",Nothing to share at this time,Google
Agency Account Strategy,1.0,2024-02-24,"Former employee, more than 1 year",Working at Google meeting great friends,"Deeply irresponsible management.  Constant issues  Redundancy of project management, ignoring job titles and not taking responsibility for their errors",Google
Process Safety Consultant,4.0,2023-12-11,"Former employee, more than 1 year",Plenty of room for development with the relatively young company and small focused team,Work delegation can be a challenge with such a small team,Google
Trust And Safety Manager,4.0,2023-11-07,Current employee,"Overall, Google Singapore is a great place to work. The company offers competitive salaries and benefits, as well as a variety of opportunities for professional development. The company culture is also very positive and supportive.",There is a lot of competition for promotions.,Google
