Job Title,Job Ratings,time,JobStatus,Pros,Cons
Product advisor,5.0,"Jul 30, 2013","Current employee, more than 1 year","Excellent benefits, they treat you very well. Positions within the Microsoft Retail stores are fairly simple. High standards, Clean environment. Great bonuses/gifts for all employees. Great training.","Because the retail side of Microsoft is still fairly new, it can get frustrating with new implements and non consistencies."
Software development engineer (sde),4.0,"Jul 31, 2013","Current employee, more than 3 years","There are many opportunities, people are great and motivated, many challenges to work on, benefits are great.","Too big so you can get lost if you are not paying attention to your career. Public doesn't think highly of the brand, which is frustrating at times."
Program manager,4.0,"Aug 2, 2013","Former employee, more than 5 years","Super smart people, passion for technology, team focus, many tools and resources at your finger tips","political, instead of searching for win-win, it can be more focused on conquering/dominating another team"
Anonymous employee,3.0,"Aug 17, 2013",Current employee,They give employees global opportunities (I moved around a few countries) and cross business opportunities (i moved around different  business functions).,They have many smart people working there and could be a little competitive at times due to how the reveiw process works.
Anonymous employee,3.0,"Aug 28, 2013","Current employee, more than 8 years","Culture, working with smart people, fun environment","The review system with the curve however this will be changing
The long process to terminate low performing employees
Ridiculous processes / teams you have to jump through to get everyone to sign off before doing anything
New cost of benefits / pay compared to other companies"
Principal product manager,3.0,"Oct 7, 2013","Current employee, more than 3 years","good pay
good benefits
with better top management the company could do so much better - it has lots of assets to leverage. Lots of potential.","limited lateral or upward opportunities in CA, much better if u work in Redmond
in a deep deep hole in key areas like mobile
fish tank mentality in Redmond - the culture is very insular"
Director,4.0,"Nov 3, 2013","Current employee, more than 8 years",This is a very inclusive and rewarding place to work. Great benefits and positive direction of the company.,Employee calibration model creates negative behavior and squashes creativity/innovation. Often feel like you are pitted against your peers to rank a good performance review since you are calibrated against peers.
Anonymous employee,2.0,"Nov 20, 2013","Current employee, more than 10 years","Solid paycheck, good offices  I can not say anything else",Company is in stagnation. Review system completely destroyed company culture. MS is not fun place to work anymore.
Senior product manager,2.0,"Dec 13, 2013","Former employee, more than 3 years","Nice gym membership, some smart people.","A lot of 'mean behind your back' types. People will throw you under the bus at the drop of a hat. Very inbred top leadership, unable to keep talent that is not home grown, very not invented here mentality."
Sales model director,3.0,"Jan 9, 2014","Former employee, more than 10 years","Still, lots of great people work there. Good products but always trying to catch up to the competition in most areas.","No decision making, bureaucracy at its best. People are not incentivized to work together."
Anonymous employee,5.0,"Feb 3, 2014",Former employee,"Great benefits, great learning, Lots of diversification of products there fore lots of opportunities. Very technical and possibility of having a work life balance when one wants it","Middle level managers are not the best, Growth can be a little slow, the review system is not extremely transparent so things are not always clear. Salaries are slightly lower than other competitive companies."
Software development engineer in test (sdet),4.0,"Mar 21, 2014","Former employee, more than 5 years","Lots of interesting projects - you can work in just about any technology field
Lots of interesting people - you work with people smarter than you","Work-Life balance can easily get out of whack if you don't actively manage expectations
Performance evaluation process was grossly bizarre - testers were rated with/against devs & PMs, not just with/against other testers"
Anonymous employee,3.0,"May 4, 2014",Former employee,"The company has great benefits, a competitive salary, and generally competitive colleagues. The headquarters have some nicely designed buildings, and you get your own office, if that is your thing.","There's too much red tape to get anything done, the engineering tools are straight from the 90s, there is a lack of collaborative culture, and the promotion process makes your colleagues hyper competitive."
General manager,4.0,"Jun 8, 2014","Former employee, more than 10 years",There is not more intellect and energy gathered so concentrated in another place on the planet.,"All the ego's and power structures have gotten in the way of collaboration, willingness to take risk and pruning stuff or people that does/do not work."
Software development engineer,3.0,"Jul 23, 2014","Current employee, more than 1 year","Green card policy
Work life balance: lots of teams really have little work to do, especially test teams
Health insurance
401 k
Mature engineering system
Systematic and automated test","Old technology, isolated from the rest of IT world
Too many vendors, especially from india
Slow promotion speed: for engineers, it's normal to take 3 years to be promoted for 1 level"
Software development engineer,4.0,"Sep 9, 2014","Current employee, more than 1 year",The work is very interesting. Lots of resources to help you accomplish your task. The pay is good and they give good bonuses and non pay compensation,Company can be competitive. A lot of you experience depends on your manager. The documentation is very poor. A lot of meetings with no clear focus
Anonymous employee,3.0,"Oct 13, 2014","Former employee, more than 10 years",Good pay for work. Good work/life balance dependent on role,People managers need to be more consistent. Execs need to listen if there is issue with direct manager. Forced attrition causes great people to lose jobs regardless of talent or tenure
Senior software development engineer,3.0,"Oct 22, 2014","Former employee, more than 1 year","Microsoft pays well and offers good benefits, and there is a lot of prestige that comes with working at such a famous company.",Management is bloated and inefficient and at times you feel like a worker bee in a vast colony that doesn't pay attention to you.
Anonymous,4.0,"Nov 14, 2014",Current employee,Teams operate as a small business so there are many opportunities to contribute in different ways. Excellent health & employee benefits and still one of the best around despite some changes over the years.,Senior management at times don't seem to be in sync with lower levels of the organization.
